,id,full_name,first_name,last_name,is_active
1988,77043,Lionel Hollins,Lionel,Hollins,False
1989,200797,Ryan Hollins,Ryan,Hollins,False
1990,77044,Essie Hollis,Essie,Hollis,False
1991,1626178,Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,False
1992,1626158,Richaun Holmes,Richaun,Holmes,True
1993,1641747,DaRon Holmes II,DaRon,Holmes II,True
1994,1631096,Chet Holmgren,Chet,Holmgren,True
1995,77045,Jim Holstein,Jim,Holstein,False
1996,77046,Alvin Holt,Alvin,Holt,False
1997,77047,Michael Holton,Michael,Holton,False
1998,77048,Dick Holub,Dick,Holub,False
1999,77049,Joe Holup,Joe,Holup,False
2000,77050,Red Holzman,Red,Holzman,False
2001,1630258,Caleb Homesley,Caleb,Homesley,False
2002,1532,Jerald Honeycutt,Jerald,Honeycutt,False
2003,202715,Tyler Honeycutt,Tyler,Honeycutt,False
2004,1967,Derek Hood,Derek,Hood,False
2005,203918,Rodney Hood,Rodney,Hood,False
2006,1641720,Jalen Hood-Schifino,Jalen,Hood-Schifino,True
2007,77051,Tom Hoover,Tom,Hoover,False
2008,77052,Bob Hopkins,Bob,Hopkins,False
2009,77053,Dave Hoppen,Dave,Hoppen,False
2010,77054,Dennis Hopson,Dennis,Hopson,False
2011,203816,Scotty Hopson,Scotty,Hopson,False
2012,77055,Johnny Horan,Johnny,Horan,False
2013,77056,Cedrick Hordges,Cedrick,Hordges,False
2014,201143,Al Horford,Al,Horford,True
2015,77057,Tito Horford,Tito,Horford,False
2016,77058,Ron Horn,Ron,Horn,False
2017,204,Jeff Hornacek,Jeff,Hornacek,False
2018,202862,Dennis Horner,Dennis,Horner,False
2019,109,Robert Horry,Robert,Horry,False
2020,77060,Ed Horton,Ed,Horton,False
2021,1629659,Talen Horton-Tucker,Talen,Horton-Tucker,True
2022,77061,Wilmer Hosket,Wilmer,Hosket,False
2023,77062,Bob Houbregs,Bob,Houbregs,False
2024,2067,Eddie House,Eddie,House,False
2025,1627863,Danuel House Jr.,Danuel,House Jr.,False
2026,1631216,Caleb Houstan,Caleb,Houstan,True
2027,275,Allan Houston,Allan,Houston,False
2028,780,Byron Houston,Byron,Houston,False
2029,77064,Tom Hovasse,Tom,Hovasse,False
2030,77065,Brian Howard,Brian,Howard,False
2031,2730,Dwight Howard,Dwight,Howard,False
2032,77066,Greg Howard,Greg,Howard,False
2033,1641724,Jett Howard,Jett,Howard,True
2034,2572,Josh Howard,Josh,Howard,False
2035,436,Juwan Howard,Juwan,Howard,False
2036,1630210,Markus Howard,Markus,Howard,False
2037,77067,Mo Howard,Mo,Howard,False
2038,77069,Otis Howard,Otis,Howard,False
2039,1128,Stephen Howard,Stephen,Howard,False
2040,1629739,William Howard,William,Howard,False
2041,77070,Bailey Howell,Bailey,Howell,False
2042,77072,Bob Hubbard,Bob,Hubbard,False
2043,77071,Phil Hubbard,Phil,Hubbard,False
2044,1631309,Trevor Hudgins,Trevor,Hudgins,False
2045,201991,Lester Hudson,Lester,Hudson,False
2046,77074,Lou Hudson,Lou,Hudson,False
2047,1607,Troy Hudson,Troy,Hudson,False
2048,1626273,Marcelo Huertas,Marcelo,Huertas,False
2049,1628989,Kevin Huerter,Kevin,Huerter,True
2050,203962,Josh Huestis,Josh,Huestis,False
2051,1630643,Jay Huff,Jay,Huff,True
2052,1572,Nate Huffman,Nate,Huffman,False
2053,77076,Alfredrick Hughes,Alfredrick,Hughes,False
2054,77077,Eddie Hughes,Eddie,Hughes,False
2055,1630190,Elijah Hughes,Elijah,Hughes,False
2056,77078,Kim Hughes,Kim,Hughes,False
2057,1716,Larry Hughes,Larry,Hughes,False
2058,1965,Rick Hughes,Rick,Hughes,False
2059,1630574,Ariel Hukporti,Ariel,Hukporti,True
2060,203133,Robbie Hummel,Robbie,Hummel,False
2061,77080,John Hummer,John,Hummer,False
2062,2415,Ryan Humphrey,Ryan,Humphrey,False
2063,1629353,Isaac Humphries,Isaac,Humphries,False
